user_id,image_index,time,guess,guess_2,answer
2,1,42991,20,60,51
2,2,8415,60,80,118
2,3,4827,60,90,101
0,1,15355,10,30,51
2,4,6308,90,140,180
0,2,8273,60,100,118
20,1,67533,35,55,51
2,5,9738,15,40,31
0,3,9973,100,180,187
2,6,6815,70,140,187
0,4,4674,1,10,83
12,1,40759,35,40,51
32,1,78983,50,65,51
0,5,6428,30,35,43
2,7,9766,30,80,83
0,6,5362,100,101,180
14,1,56365,50,55,51
20,2,20231,50,65,118
12,2,8392,75,80,118
2,8,9206,50,120,162
34,1,84515,45,55,51
0,7,5822,150,151,162
2,9,7852,20,40,43
0,8,6305,150,151,98
14,2,9636,70,90,118
2,10,6678,30,80,98
12,3,13668,200,220,187
0,9,6056,200,250,149
32,2,31089,120,140,118
20,3,16232,100,130,101
2,11,9262,70,150,149
0,10,6740,100,200,218
34,2,22107,86,108,118
2,12,7130,80,160,218
41,1,71914,48,53,51
14,3,11567,170,210,180
0,11,5962,1,100,101
20,4,11540,110,135,149
12,4,23118,150,160,149
114,1,131516,51,53,51
0,12,5039,1,50,31
14,4,14296,30,33,31
32,3,32102,195,210,162
20,5,22987,100,140,187
12,5,30650,160,170,162
34,3,19187,29,33,31
1,13,22336,20,30,54
14,5,22237,180,210,218
9,1,40578,30,50,51
12,6,5994,20,22,31
32,4,23068,30,33,31
1,14,4370,45,60,110
20,6,27030,30,32,31
41,2,57754,100,120,118
14,6,9553,190,210,149
1,15,7286,95,125,113
12,7,9909,25,27,43
9,2,5413,40,65,118
1,16,4868,95,105,122
9,3,5719,75,100,180
8,1,7236,20,30,51
34,4,27671,135,168,162
12,8,13169,85,90,83
6,13,33111,20,40,54
32,5,30148,185,205,218
8,2,5790,70,90,118
1,17,10078,165,180,176
9,4,8818,50,75,83
14,7,31665,70,80,83
1,18,9164,45,55,94
8,3,7521,100,120,180
6,14,7764,20,200,110
9,5,9691,150,175,162
3,13,12459,45,55,54
62,1,88783,50,70,51
114,2,97730,98,102,118
12,9,10771,230,240,218
1,19,4740,65,95,73
26,1,70041,30,60,51
8,4,4618,20,40,101
3,14,4823,55,80,110
4,13,44469,22,37,54
9,6,6099,75,100,98
6,15,9757,80,150,94
32,6,27254,160,185,149
1,20,4749,65,75,90
34,5,27246,150,195,218
3,15,5367,120,130,94
33,1,78725,50,60,51
8,5,7232,80,110,149
12,10,6706,195,200,180
20,7,67514,140,185,162
14,8,23994,49,57,43
9,7,6398,25,40,43
1,21,4274,65,85,50
7,13,45379,35,50,54
3,16,4359,120,145,122
6,16,6261,80,150,171
8,6,4609,10,20,31
4,14,14515,125,145,110
9,8,6140,24,40,31
3,17,4254,150,180,171
12,11,8472,85,90,98
8,7,4415,30,40,43
1,22,7128,150,170,143
14,9,6984,90,120,98
5,13,18949,20,60,54
26,2,11851,80,100,118
6,17,7568,30,60,73
40,1,109193,48,50,51
8,8,4024,90,120,187
1,23,4945,150,160,171
7,14,7453,75,85,110
4,15,9118,88,110,94
3,18,5655,120,140,113
9,9,9917,85,100,149
32,7,22754,150,170,187
5,14,5750,75,95,110
14,10,13698,130,180,162
1,24,4780,150,175,211
12,12,13167,100,105,101
10,13,45642,50,55,54
3,19,5061,60,70,73
6,18,12074,10,200,50
4,16,6548,165,185,211
8,9,6785,140,190,162
9,10,7532,100,135,187
34,6,26918,200,270,187
5,15,5099,50,125,122
20,8,36290,41,43,43
62,2,19910,75,90,118
3,20,4543,90,110,143
41,3,95688,165,191,187
222,1,86711,45,90,51
14,11,5872,180,220,187
4,17,5344,135,155,143
26,3,9444,80,100,218
8,10,5204,200,240,218
9,11,5950,150,175,218
5,16,5499,25,55,50
3,21,4672,140,155,176
6,19,9043,50,200,113
10,14,7793,60,65,110
48,1,121214,50,60,51
8,11,4611,30,50,83
7,15,11407,215,225,171
9,12,6072,50,200,101
4,18,8515,85,99,90
5,17,4489,100,200,211
11,13,66228,40,60,54
3,22,7186,70,90,90
32,8,28807,40,43,43
8,12,4604,20,50,98
6,20,5629,50,200,90
14,12,16135,80,120,101
5,18,5368,40,100,94
4,19,6342,45,65,50
15,1,54188,25,35,51
10,15,12040,300,320,211
20,9,17231,170,210,218
26,4,12596,100,120,83
7,16,13426,45,55,73
3,23,5471,30,50,50
5,19,6096,75,125,143
6,21,6786,100,250,211
43,1,241859,46,54,51
4,20,8628,155,175,171
11,14,8133,75,85,110
3,24,5647,225,250,211
7,17,8757,185,195,211
5,20,7422,40,80,90
10,16,9459,130,140,113
15,2,8437,45,55,118
4,21,9064,145,160,122
32,9,23757,78,94,98
62,3,24574,120,135,180
6,22,5160,200,300,176
5,21,4714,76,140,171
34,7,42908,185,240,180
11,15,9208,160,170,171
207,13,23300,50,70,54
4,22,7309,130,149,176
20,10,26437,85,135,180
10,17,9281,195,210,171
41,4,47831,95,110,101
114,3,112416,176,184,187
72,1,82741,50,60,51
5,22,5697,35,60,73
23,13,34655,36,45,54
7,18,13839,130,140,94
15,3,10315,75,110,98
26,5,22851,30,40,31
6,23,8034,100,159,122
4,23,6063,66,89,73
33,2,77441,115,135,118
48,2,26149,120,130,118
7,19,5527,35,45,50
10,18,7969,45,50,50
5,23,5328,100,200,176
11,16,14765,50,60,73
43,2,19109,72,80,118
4,24,6204,110,126,113
6,24,7823,100,200,143
15,4,8965,30,40,43
5,24,4306,50,77,113
207,14,7636,100,140,110
32,10,27655,94,105,101
7,20,6389,210,220,176
62,4,19157,60,70,83
26,6,11121,200,250,162
11,17,10475,80,95,90
10,19,9105,135,160,143
15,5,7303,55,75,83
7,21,5095,210,220,113
40,2,93970,150,155,118
16,13,72978,20,35,54
34,8,28378,90,124,101
15,6,7797,150,200,218
11,18,11418,200,220,211
207,15,10716,130,150,94
10,20,8146,95,140,122
7,22,7366,85,95,90
26,7,13572,180,200,149
32,11,22293,85,95,83
20,11,46983,80,105,98
16,14,13673,58,68,110
7,23,6439,125,135,143
15,7,11768,250,300,149
43,3,32811,168,180,218
46,1,91428,36,54,51
13,13,31608,15,25,54
19,13,69575,30,50,54
48,3,26771,110,115,101
62,5,21769,100,130,149
207,16,13208,40,60,50
10,21,13356,90,145,94
101,1,127477,52,54,51
7,24,5352,100,110,122
33,3,49807,100,115,101
223,1,61450,20,30,51
11,19,18802,130,150,113
15,8,8389,100,125,162
41,5,63469,145,160,162
23,14,32349,83,110,110
34,9,25967,44,51,43
16,15,10701,120,125,171
26,8,10963,30,70,43
20,12,11598,75,100,83
15,9,4649,150,180,180
207,17,8989,140,160,171
10,22,8533,190,245,176
80,1,67649,30,40,51
62,6,7961,110,140,162
11,20,8842,40,50,50
13,14,6443,50,80,110
19,14,9765,70,90,110
32,12,27145,137,147,180
15,10,4522,20,25,31
45,1,44333,45,48,51
27,1,95876,80,110,51
10,23,8857,35,55,73
223,2,6955,70,80,118
207,18,9541,150,180,176
13,15,5794,100,150,176
11,21,9087,210,220,176
16,16,11600,78,83,122
43,4,31368,87,95,101
17,13,40487,20,40,54
19,15,7610,90,120,94
26,9,10441,80,120,98
15,11,9317,100,120,101
13,16,4737,15,25,50
41,6,21470,40,48,43
62,7,13755,180,200,218
10,24,7670,70,90,90
209,13,95160,35,50,54
46,2,28015,56,84,118
15,12,6503,200,250,187
207,19,9050,100,130,143
11,22,9095,150,160,122
16,17,12555,47,53,73
48,4,43063,160,180,187
17,14,7030,120,140,110
13,17,6268,200,275,211
21,13,40926,40,75,54
34,10,34859,185,235,149
19,16,7937,110,120,171
26,10,12448,180,240,187
27,2,15936,150,180,118
80,2,13431,55,60,118
23,15,21058,50,63,73
207,20,11735,50,70,73
16,18,8662,80,85,113
114,4,109795,198,205,218
43,5,23116,68,74,83
13,18,5672,50,60,94
41,7,21930,30,32,31
11,23,18885,180,200,143
29,13,75047,40,50,54
19,17,9550,110,120,90
13,19,4410,200,250,171
39,1,59360,20,35,51
17,15,11722,100,101,113
62,8,21860,60,80,98
207,21,7701,160,180,211
16,19,10355,97,107,143
209,14,5725,85,112,110
27,3,13112,80,100,101
13,20,4750,150,200,113
26,11,9469,80,120,101
21,14,11890,85,98,110
46,3,19303,64,96,101
16,20,7297,48,52,90
11,24,15701,90,100,94
13,21,4345,25,40,90
101,2,55523,135,145,118
40,3,108190,120,130,149
29,14,10722,70,90,110
80,3,12202,90,100,98
45,2,15544,67,79,118
17,16,12056,121,122,176
27,4,7589,80,100,149
