user_id,image_index,time,guess,guess_2,answer
6,1,37913,60,65,51
16,1,58717,43,47,51
1,1,34692,35,58,51
7,1,33819,35,40,51
10,1,48142,35,37,51
4,1,31213,22,43,51
6,2,14717,60,65,118
23,1,62182,53,62,51
1,2,8529,75,85,118
16,2,15732,65,72,118
7,2,7301,70,75,118
22,1,86300,49,50,51
4,2,6692,68,79,118
1,3,6069,125,115,149
6,3,11664,112,120,187
23,2,10878,93,110,118
7,3,10623,45,35,43
4,3,11045,99,134,162
1,4,9188,145,155,187
10,2,11221,95,100,118
6,4,11323,30,40,43
1,5,6375,180,150,162
206,1,73523,60,70,51
6,5,6739,20,30,31
7,4,14783,125,115,218
4,4,15899,176,199,180
11,1,37011,50,40,51
10,3,13190,200,215,187
23,3,17270,76,89,83
1,6,8397,35,50,43
25,1,83494,51,50,51
16,3,52362,88,93,98
6,6,11374,40,50,83
1,7,7954,55,75,83
7,5,10142,50,65,101
11,2,9541,120,140,118
22,2,49812,89,101,118
10,4,15125,31,32,31
23,4,13514,133,148,180
1,8,7173,80,105,98
6,7,6191,50,60,180
4,5,17720,43,59,43
7,6,8968,140,125,162
11,3,10552,200,220,187
106,1,90484,53,52,51
1,9,5710,25,40,31
10,5,8523,115,125,101
5,1,31550,30,40,51
3,1,13031,60,50,51
6,8,5966,100,200,162
4,6,9062,165,205,187
7,7,7495,200,180,187
207,1,40193,30,40,51
1,10,7666,180,200,218
206,2,40035,140,120,118
11,4,8565,150,120,98
208,1,96142,50,51,51
23,5,15886,33,48,43
3,2,4823,85,80,118
22,3,24403,98,118,149
5,2,5147,55,75,118
6,9,7913,150,200,218
10,6,9824,195,205,180
126,1,49605,51,50,51
4,7,7900,180,210,218
1,11,6968,65,95,101
11,5,8922,85,110,101
3,3,5030,115,130,218
21,1,37414,60,80,51
5,3,7096,150,200,180
29,1,90685,70,80,51
0,13,11145,10,100,54
1,12,6226,105,150,180
8,1,27780,20,30,51
4,8,7309,65,78,101
207,2,14518,60,80,118
16,4,54208,96,106,83
22,4,9661,123,165,218
3,4,4319,180,200,101
7,8,23391,85,70,83
11,6,8434,150,170,162
6,10,14472,45,48,98
0,14,4510,50,120,110
25,2,59980,128,144,118
10,7,13495,165,170,98
23,6,25966,30,35,31
5,4,13135,32,39,31
3,5,5293,120,200,98
4,9,7612,89,123,149
0,15,4743,1,200,113
209,1,53633,50,60,51
73,1,68463,50,52,51
19,1,57890,30,100,51
6,11,7091,100,200,149
11,7,8924,180,200,218
207,3,11287,125,150,187
7,9,11263,110,125,180
4,10,5585,66,78,83
0,16,6079,1,100,211
3,6,5334,85,90,83
206,3,33401,52,60,43
10,8,13537,240,260,149
5,5,9742,200,250,187
29,2,16998,85,105,118
0,17,4519,10,30,94
21,2,9635,90,100,118
6,12,7506,20,80,101
7,10,7111,200,225,149
22,5,20169,99,112,187
3,7,4711,250,275,180
2,13,63635,20,50,54
11,8,8000,170,190,180
4,11,8566,69,86,98
209,2,8985,70,85,118
5,6,6946,75,125,101
0,18,5359,50,152,143
23,7,18540,130,165,162
207,4,10377,60,50,98
19,2,11829,100,75,118
3,8,5215,220,250,187
109,1,73257,25,27,51
16,5,36764,45,52,43
10,9,8427,450,500,218
2,14,5154,30,80,110
0,19,5262,20,80,73
17,1,43662,24,32,51
3,9,5191,200,220,149
5,7,6740,125,175,149
4,12,11210,28,39,31
11,9,11971,140,120,149
7,11,16407,25,35,31
22,6,13547,112,148,162
0,20,4582,80,150,122
207,5,9262,120,140,218
19,3,7653,150,175,218
106,2,69492,140,138,118
206,4,25577,250,220,162
3,10,5416,35,45,43
10,10,8751,30,32,43
5,8,8290,67,80,83
209,3,13260,115,152,180
24,1,50877,40,48,51
0,21,4410,1,50,50
21,3,20533,130,90,98
25,3,43240,240,255,218
23,8,17751,130,155,149
7,12,8166,55,75,98
3,11,6399,25,32,31
11,10,10651,60,70,83
2,15,16737,90,140,211
16,6,20090,31,28,31
29,3,13666,85,110,101
5,9,6528,80,95,98
10,11,8368,55,60,83
207,6,8324,200,150,149
109,2,13361,98,110,118
