user_id,image_index,time,guess,guess_2,answer
0,1,13839,24,33,37
0,2,6215,57,69,73
0,3,5723,68,80,62
0,4,6858,64,84,98
0,5,5468,58,78,77
0,6,6665,48,66,80
198,1,41128,57,89,37
0,7,5438,34,39,39
0,8,5287,87,110,94
198,2,14000,67,120,73
0,9,21757,29,35,29
198,3,11270,170,200,77
0,10,5588,33,49,44
0,11,6126,75,108,85
198,4,12902,65,70,44
24,1,39086,35,37,37
0,12,5573,119,145,226
6,1,29519,30,25,37
198,5,13054,150,200,226
32,1,39273,33,35,37
24,2,13968,75,82,73
198,6,10026,160,170,94
6,2,11076,45,55,73
3,13,21114,35,40,41
6,3,11010,60,75,80
198,7,14424,87,95,85
3,14,6256,80,90,112
32,2,27696,80,78,73
24,3,24407,92,100,85
6,4,5922,45,55,62
198,8,13938,28,30,29
3,15,11400,110,130,128
6,5,9244,90,105,226
24,4,15014,30,28,29
239,1,115582,36,35,37
32,3,21085,100,97,98
3,16,15289,90,110,84
198,9,19475,110,120,98
4,13,15730,35,25,41
6,6,7703,60,75,94
3,17,7098,70,90,109
24,5,16109,38,36,39
4,14,9638,65,51,112
198,10,11539,90,110,62
6,7,13628,75,85,85
3,18,11348,120,140,166
4,15,6855,65,85,69
32,4,20944,95,90,94
198,11,11547,80,90,80
6,8,7138,20,30,29
4,16,12305,60,70,60
3,19,14065,40,60,71
198,12,8169,60,70,39
6,9,7562,30,40,44
4,17,10555,150,235,165
24,6,45596,265,275,226
6,10,8413,75,85,98
3,20,20604,90,110,79
239,2,60841,72,73,73
4,18,11623,95,79,109
3,21,5717,50,70,60
6,11,8104,45,55,39
4,19,8468,95,135,139
3,22,7398,110,130,165
38,1,34890,35,45,37
6,12,7042,55,65,77
4,20,9352,85,125,128
32,5,58269,30,29,29
24,7,35279,104,100,94
4,21,7914,99,150,166
3,23,21771,100,120,139
1,25,17185,10,25,36
4,22,6294,55,85,84
1,26,2641,44,55,85
20,1,25457,23,29,37
3,24,10429,40,60,69
1,27,2834,66,77,103
32,6,20363,90,87,85
38,2,23403,75,60,73
239,3,53641,62,63,62
4,23,11822,45,65,71
24,8,31302,105,110,98
1,28,7157,35,89,177
1,29,2966,44,77,193
4,24,7790,58,87,79
12,1,24390,25,30,37
2,25,10390,20,25,36
32,7,18805,80,77,77
1,30,7324,60,88,129
20,2,14199,31,40,73
24,9,17052,46,48,44
2,26,6455,45,50,85
1,31,5720,50,80,76
38,3,30758,65,62,62
239,4,26773,29,30,29
12,2,9218,45,50,73
1,32,6528,25,50,51
12,3,8688,50,60,62
1,33,6330,25,50,40
2,27,5996,50,45,65
32,8,19610,45,48,44
1,34,3991,55,88,27
20,3,21796,95,135,94
16,13,20876,50,48,41
2,28,3639,20,15,27
24,10,30910,63,60,62
1,35,4705,33,66,65
239,5,28701,44,45,44
12,4,9000,28,35,39
2,29,4520,175,200,177
1,36,2969,55,88,114
2,30,4629,85,75,103
38,4,37282,175,150,226
32,9,13535,195,200,226
12,5,9765,80,92,94
16,14,20564,95,105,112
2,31,12520,225,275,193
20,4,12369,100,150,85
24,11,26569,82,78,80
12,6,8875,110,130,226
2,32,5164,45,85,114
32,10,18323,55,60,62
2,33,3838,45,55,51
38,5,18613,29,30,29
2,34,3455,45,35,40
16,15,22732,110,120,128
12,7,9594,22,34,29
20,5,13415,30,45,29
2,35,5265,55,75,76
24,12,28059,79,82,77
