user_id,image_index,time,guess,guess_2,guess_3,answer
58,1,52377,45,55,65,37
40,1,77580,40,42,38,37
45,1,49801,40,38,42,37
58,2,34246,60,70,80,73
2,1,35737,35,40,45,37
2,2,6189,55,75,65,73
2,3,5517,65,70,55,94
1,13,23252,10,15,30,41
45,2,40593,76,80,70,73
2,4,5687,55,60,65,62
40,2,55513,44,46,50,73
1,14,7066,15,20,25,112
1,15,6222,20,30,50,84
2,5,5833,90,85,75,80
35,1,65673,36,35,34,37
21,1,77674,50,42,45,37
2,6,6353,25,30,23,39
45,3,30721,39,37,41,39
1,16,10070,40,70,90,128
2,7,4300,40,45,55,44
2,8,5399,90,80,75,77
1,17,8003,10,15,20,60
21,2,13416,70,75,80,73
40,3,35898,68,86,58,98
0,25,16180,15,25,35,36
2,9,6536,95,75,85,85
1,18,8406,20,35,60,69
35,2,30823,73,74,75,73
0,26,6860,45,65,85,85
2,10,7391,100,95,125,98
1,19,5432,20,55,99,71
45,4,29712,65,70,75,80
42,1,60923,39,33,37,37
2,11,5383,250,150,175,226
7,13,29661,45,55,35,41
17,1,50734,40,36,37,37
0,27,7714,86,115,155,114
1,20,5943,20,66,77,166
21,3,16338,41,38,46,39
2,12,5285,20,25,15,29
1,21,3441,66,77,88,79
0,28,6131,45,60,75,65
1,22,6736,30,65,100,109
40,4,34358,68,76,58,94
0,29,8998,20,27,37,27
7,14,15167,72,85,96,112
1,23,5148,30,55,99,165
0,30,8068,88,99,119,129
1,24,5795,35,65,55,139
17,2,25463,67,68,70,73
21,4,18129,60,65,72,80
42,2,43230,77,73,71,73
0,31,10196,25,37,50,40
35,3,54751,84,85,86,85
40,5,29515,58,66,72,80
0,32,8009,135,175,215,177
17,3,19942,80,90,100,80
6,13,26390,35,45,55,41
7,15,34770,64,74,95,79
45,5,67496,98,100,102,98
21,5,26098,150,160,175,226
0,33,10949,65,83,100,103
6,14,11467,75,95,105,112
0,34,8418,28,44,60,51
7,16,14050,109,135,172,166
17,4,18758,100,110,90,94
3,25,25916,30,35,40,36
0,35,7449,58,78,98,76
21,6,16001,43,46,49,44
40,6,46192,36,44,52,85
7,17,9379,37,57,75,84
4,25,14883,25,35,45,36
6,15,13507,85,95,105,79
8,13,26713,50,30,40,41
0,36,7925,115,155,195,193
42,3,53879,85,84,82,85
45,6,32779,29,28,30,29
4,26,7770,45,67,89,85
7,18,8975,99,125,156,139
17,5,24450,300,250,275,226
21,7,20730,75,80,83,77
6,16,13196,75,85,110,84
3,26,28948,30,35,40,85
7,19,8434,68,88,108,109
48,1,36494,34,38,41,37
8,14,21532,200,100,150,112
40,7,27061,48,52,66,62
4,27,17767,110,160,210,177
6,17,12664,75,85,95,69
35,4,91673,178,180,175,226
3,27,13791,140,150,160,177
7,20,9484,66,76,88,69
21,8,20153,80,85,91,85
8,15,14660,200,210,190,166
17,6,26503,70,75,80,85
3,28,6163,120,130,140,129
4,28,15018,98,105,135,129
6,18,11475,85,95,105,109
7,21,8523,65,75,87,71
3,29,6555,110,120,130,103
42,4,55866,95,92,99,98
4,29,10367,30,42,50,40
8,16,12062,90,70,80,69
7,22,8723,60,72,85,60
100,1,84125,37,36,35,37
3,30,7467,120,130,140,193
