user_id,image_index,time,guess,answer
3,1,21115,30,37
3,2,9556,70,73
3,3,11208,60,62
3,4,4014,40,39
4,1,17239,35,37
3,5,6529,70,77
7,1,33299,40,37
3,6,5178,75,85
4,2,8669,45,73
3,7,6074,100,94
7,2,10706,75,73
3,8,6991,110,98
4,3,9105,75,80
3,9,8246,50,44
7,3,5299,70,77
4,4,7190,55,77
3,10,7745,25,29
15,1,27817,36,37
4,5,5792,67,98
3,11,9579,70,80
4,6,6686,35,39
7,4,17495,42,39
4,7,5087,29,44
3,12,8627,140,226
7,5,6429,155,226
0,13,15338,25,41
4,8,5146,27,29
16,1,27673,35,37
0,14,2994,56,112
54,1,49516,36,37
4,9,8710,75,94
0,15,7654,148,165
15,2,47167,72,73
16,2,9721,85,73
4,10,6222,70,85
7,6,25031,72,80
0,16,4457,54,79
4,11,6794,105,226
7,7,6110,85,62
8,1,35444,100,37
0,17,5415,149,166
4,12,4631,60,62
7,8,3723,88,98
0,18,4311,38,60
16,3,20851,40,39
0,19,4174,98,128
8,2,6724,100,73
0,20,3756,59,84
7,9,14333,50,44
0,21,4212,79,109
8,3,7520,60,39
16,4,18720,35,29
7,10,3856,97,85
0,22,4216,68,71
0,23,3910,175,139
7,11,5612,85,94
8,4,7306,40,29
0,24,4112,58,69
16,5,15031,110,98
124,1,67083,36,37
7,12,6421,43,29
54,2,70286,72,73
56,1,106523,36,37
8,5,6092,200,226
16,6,15375,88,80
197,1,9310,45,37
15,3,74159,65,62
8,6,7478,80,44
54,3,26198,45,44
8,7,6414,100,98
16,7,14203,80,77
198,13,15229,60,41
124,2,33635,71,73
199,1,63552,36,37
198,14,4336,120,112
8,8,5969,90,80
2,13,11519,25,41
198,15,5804,200,139
9,1,62810,36,37
54,4,17631,29,29
2,14,2749,85,112
16,8,23950,160,226
198,16,4862,80,60
8,9,7642,80,85
2,15,3120,96,166
198,17,4749,100,71
15,4,23211,39,39
2,16,3454,40,60
56,2,62111,72,73
198,18,4799,180,165
8,10,6431,70,77
2,17,2422,55,79
16,9,14042,55,62
2,18,2602,65,69
124,3,46194,95,98
198,19,7140,80,69
2,19,4313,150,165
8,11,6865,90,94
2,20,2653,95,139
16,10,11105,72,85
9,2,26280,82,73
2,21,2503,85,109
198,20,7329,80,84
5,1,17008,42,37
2,22,2442,65,84
8,12,6443,80,62
2,23,2979,100,128
124,4,20620,44,44
198,21,8849,80,79
2,24,2265,55,71
9,3,9341,187,226
5,2,5294,51,73
16,11,17452,43,44
198,22,5351,180,109
5,3,9023,68,94
198,23,5217,140,128
5,4,5164,35,39
16,12,13149,85,94
198,24,4934,180,166
9,4,15287,29,29
5,5,7231,58,77
124,5,14307,28,29
9,5,9658,95,62
5,6,6226,71,85
18,1,42939,36,37
56,3,80002,27,29
9,6,4575,120,98
5,7,7647,119,226
124,6,20541,39,39
5,8,5543,30,29
9,7,11528,60,44
43,1,51994,36,37
18,2,8448,67,73
5,9,7327,76,98
15,5,126546,215,226
9,8,9195,90,77
5,10,9454,81,80
54,5,147462,224,226
18,3,6959,71,62
9,9,4766,105,94
5,11,6870,59,62
124,7,38847,63,62
5,12,6323,52,44
18,4,8483,84,94
9,10,16451,39,39
43,2,34589,73,73
9,11,7765,105,85
18,5,20248,29,29
200,1,27510,35,37
9,12,6116,80,80
24,13,26395,41,41
54,6,51857,88,85
124,8,46158,85,85
18,6,5247,103,98
15,6,45677,97,98
200,2,5250,45,73
24,14,23604,92,112
200,3,7146,150,226
15,7,18869,44,44
18,7,21400,45,44
43,3,52716,98,98
200,4,5719,150,94
18,8,5759,93,85
201,1,12066,55,37
54,7,45811,79,80
18,9,5008,89,80
124,9,55349,95,94
15,8,34763,77,77
18,10,8480,82,77
6,25,19219,35,36
24,15,44922,142,139
15,9,12736,80,85
202,1,36883,38,37
54,8,23858,39,39
32,13,65254,50,41
6,26,6916,65,85
61,1,29277,39,37
18,11,20139,41,39
6,27,5986,120,193
32,14,9327,115,112
43,4,53017,95,94
200,5,31146,50,62
17,13,26322,42,41
24,16,26275,71,69
18,12,4904,127,226
6,28,4858,85,76
15,10,28029,29,29
6,29,4423,125,177
17,14,17305,90,112
15,11,9322,65,80
61,2,29250,76,73
6,30,4231,55,40
32,15,23313,85,84
15,12,9419,70,94
43,5,21910,29,29
17,15,10146,80,139
6,31,6286,55,114
32,16,8283,115,165
200,6,37990,75,77
24,17,39938,156,166
